Timestamp UNIX Id State
2.1 1760315273703 2 1
2.1 1760315273703 3 1
2.1 1760315273703 4 1
2.1 1760315273703 5 1
2.1 1760315273703 6 1
2.1 1760315273703 7 1
2.1 1760315273703 8 1
2.12 1760315273723 2 1
2.12 1760315273723 3 1
2.12 1760315273723 4 1
2.12 1760315273723 5 1
2.12 1760315273723 6 1
2.12 1760315273723 7 1
2.12 1760315273723 8 1
2.14 1760315273743 2 1
2.14 1760315273743 3 1
2.14 1760315273743 4 1
2.14 1760315273743 5 1
2.14 1760315273743 6 1
2.14 1760315273743 7 1
2.14 1760315273743 8 1
2.16 1760315273763 2 1
2.16 1760315273763 3 1
2.16 1760315273763 4 1
2.16 1760315273763 5 1
2.16 1760315273763 6 1
2.16 1760315273763 7 1
2.16 1760315273763 8 1
2.18 1760315273783 2 1
2.18 1760315273783 3 1
2.18 1760315273783 4 1
2.18 1760315273783 5 1
2.18 1760315273783 6 1
2.18 1760315273783 7 1
2.18 1760315273783 8 1
2.2 1760315273803 2 1
2.2 1760315273803 3 1
2.2 1760315273803 4 1
2.2 1760315273803 5 1
2.2 1760315273803 6 1
2.2 1760315273803 7 1
2.2 1760315273803 8 1
2.22 1760315273823 2 1
2.22 1760315273823 3 1
2.22 1760315273823 4 1
2.22 1760315273823 5 1
2.22 1760315273823 6 1
2.22 1760315273823 7 1
2.22 1760315273823 8 1
2.24 1760315273843 2 1
2.24 1760315273843 3 1
2.24 1760315273843 4 1
2.24 1760315273843 5 1
2.24 1760315273843 6 1
2.24 1760315273843 7 0
2.24 1760315273843 8 1
2.26 1760315273863 2 1
2.26 1760315273863 3 1
2.26 1760315273863 4 1
2.26 1760315273863 5 1
2.26 1760315273863 6 1
2.26 1760315273863 7 1
2.26 1760315273863 8 1
2.28 1760315273883 2 1
2.28 1760315273883 3 1
2.28 1760315273883 4 1
2.28 1760315273883 5 1
2.28 1760315273883 6 1
2.28 1760315273883 7 1
2.28 1760315273883 8 1
2.3 1760315273903 2 1
2.3 1760315273903 3 1
2.3 1760315273903 4 1
2.3 1760315273903 5 1
2.3 1760315273903 6 1
2.3 1760315273903 7 1
2.3 1760315273903 8 1
2.32 1760315273923 2 1
2.32 1760315273923 3 1
2.32 1760315273923 4 1
2.32 1760315273923 5 1
2.32 1760315273923 6 1
2.32 1760315273923 7 1
2.32 1760315273923 8 1
2.34 1760315273943 2 1
2.34 1760315273943 3 1
2.34 1760315273943 4 1
2.34 1760315273943 5 1
2.34 1760315273943 6 1
2.34 1760315273943 7 1
2.34 1760315273943 8 1
2.36 1760315273963 2 1
2.36 1760315273963 3 1
2.36 1760315273963 4 1
2.36 1760315273963 5 1
2.36 1760315273963 6 1
2.36 1760315273963 7 1
2.36 1760315273963 8 1
2.38 1760315273983 2 1
2.38 1760315273983 3 1
2.38 1760315273983 4 1
2.38 1760315273983 5 1
2.38 1760315273983 6 1
2.38 1760315273983 7 1
2.38 1760315273983 8 1
2.4 1760315274003 2 1
2.4 1760315274003 3 1
2.4 1760315274003 4 1
2.4 1760315274003 5 1
2.4 1760315274003 6 1
2.4 1760315274003 7 1
2.4 1760315274003 8 1
2.42 1760315274023 2 1
2.42 1760315274023 3 1
2.42 1760315274023 4 1
2.42 1760315274023 5 1
2.42 1760315274023 6 1
2.42 1760315274023 7 1
2.42 1760315274023 8 1
2.44 1760315274043 2 1
2.44 1760315274043 3 1
2.44 1760315274043 4 1
2.44 1760315274043 5 1
2.44 1760315274043 6 1
2.44 1760315274043 7 1
2.44 1760315274043 8 1
2.46 1760315274063 2 1
2.46 1760315274063 3 1
2.46 1760315274063 4 1
2.46 1760315274063 5 1
2.46 1760315274063 6 1
2.46 1760315274063 7 1
2.46 1760315274063 8 1
2.48 1760315274083 2 1
2.48 1760315274083 3 1
2.48 1760315274083 4 1
2.48 1760315274083 5 1
2.48 1760315274083 6 1
